dataset	compound_inchikey	canonical_smiles	parent_status	parent_smiles	parent_key	parent_formula
external	IXRPKRWXUJOOBZ-UHFFFAOYSA-N	CC(=O)OCC(C)=CCCC1(C)C2CC3C(C2)C31C	ok	CC(=O)OCC(C)=CCCC1(C)C2CC3C(C2)C31C	IXRPKRWXUJOOBZ-UHFFFAOYSA-N	C17H26O2
external	IXSVOCGZBUJEPI-UHFFFAOYSA-N	COC1C=COC2(C)Oc3c(C)c(O)c4c(=O)c(c5oc6cc(N7CCN(CC(C)C)CC7)cc(=O)c6nc5c4c3=C2O)N=C(O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C	tautomer_MaxTransformsReached			C51H64N4O13
external	IXTMWRCNAAVVAI-UHFFFAOYSA-N	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1	ok	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1	IXTMWRCNAAVVAI-UHFFFAOYSA-N	C19H27N3O5S2
external	IYFNEFQTYQPVOC-UHFFFAOYSA-N	CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1	ok	CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc(=O)c2c([nH]1)c(CCC)nn2C	IYFNEFQTYQPVOC-UHFFFAOYSA-N	C25H36N6O4S
external	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	ok	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	C25H29I2NO3
external	IYRMWMYZSQPJKC-UHFFFAOYSA-N	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	ok	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	IYRMWMYZSQPJKC-UHFFFAOYSA-N	C15H10O6
external	IYYGBZJXHJSLEV-UHFFFAOYSA-N	CCc1ccc(CCOc2ccc(Cc3sc(O)nc3O)cc2)nc1	ok	CCc1ccc(CCOc2ccc(Cc3sc(=O)[nH]c3O)cc2)nc1	IYYGBZJXHJSLEV-UHFFFAOYSA-N	C19H20N2O3S
external	IZBNNCFOBMGTQX-UHFFFAOYSA-N	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC	ok	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC	IZBNNCFOBMGTQX-UHFFFAOYSA-N	C19H28ClN5O
external	IZEKFCXSFNUWAM-UHFFFAOYSA-N	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1	ok	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1	IZEKFCXSFNUWAM-UHFFFAOYSA-N	C24H40N8O4
external	IZJDOKYDEWTZSO-UHFFFAOYSA-N	S=C=NCCc1ccccc1	ok	S=C=NCCc1ccccc1	IZJDOKYDEWTZSO-UHFFFAOYSA-N	C9H9NS
