query	panel	group	method	domain	candidates	positives	deterministic_RR	tie_averaged_RR	conditional_defined
90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	own	8	0	0.0	0.0	False
90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	common	0	0	0.0	0.0	False
90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	common	0	0	0.0	0.0	False
986c2d55b51e3e18a75785d46dcd2badbec7934d536bf8f9efc8033713322ac2	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	own	15	0	0.0	0.0	False
986c2d55b51e3e18a75785d46dcd2badbec7934d536bf8f9efc8033713322ac2	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	own	4	0	0.0	0.0	False
986c2d55b51e3e18a75785d46dcd2badbec7934d536bf8f9efc8033713322ac2	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	common	0	0	0.0	0.0	False
986c2d55b51e3e18a75785d46dcd2badbec7934d536bf8f9efc8033713322ac2	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	common	0	0	0.0	0.0	False
a947f2e56d64749f375e630b21b9784a464a3d406abf5d7dd9bdc58851df59a1	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	own	52	0	0.0	0.0	False
a947f2e56d64749f375e630b21b9784a464a3d406abf5d7dd9bdc58851df59a1	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	own	2	0	0.0	0.0	False
a947f2e56d64749f375e630b21b9784a464a3d406abf5d7dd9bdc58851df59a1	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	common	0	0	0.0	0.0	False
a947f2e56d64749f375e630b21b9784a464a3d406abf5d7dd9bdc58851df59a1	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	common	0	0	0.0	0.0	False
af30d85a6eb343bd711a26e0b4f8c76e7f0d2e505365652dab387f63fb8e24be	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	own	1	0	0.0	0.0	False
af30d85a6eb343bd711a26e0b4f8c76e7f0d2e505365652dab387f63fb8e24be	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	own	8	0	0.0	0.0	False
af30d85a6eb343bd711a26e0b4f8c76e7f0d2e505365652dab387f63fb8e24be	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	common	0	0	0.0	0.0	False
af30d85a6eb343bd711a26e0b4f8c76e7f0d2e505365652dab387f63fb8e24be	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	common	0	0	0.0	0.0	False
